Model,Data,Text Module,Vision Module,Params,,Training Steps,Batch Size,SNLI-Dev-UnFrozen,SNLI-Test-UnFrozen,SNLI-Dev-Frozen,SNLI-Test-Frozen,NLVR2-best,NLVR2-40ep-b256-pgbs32,VQAv2-best,VQAv2-5ep,VQAv2-10ep,Flickr-irtr-1 ep,Ref. Res.,Elapsed Time
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG/GCC/SBU,RoBERTa,CLIP,,,200K,,,,,,0.8305,,0.7768,,,,,Pretrained
MiniVLM,COCO/VG/GCC/SBU,,,,,,,,,,,0.7393,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,ELECTRA-small,Swin-Tiny,61.9 M,,200K,,,,,,0.7210641503,0.7210641503,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,ELECTRA-small,Deit-Tiny,39.8 M,,1M,,"0.7357819080352783,","0.7306780219078064,",,,"0.7172620892524719,",0.7172620893,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,ELECTRA-small,Deit-Tiny,39.8 M,,50K,,"0.7060485482215881,","0.7013671398162842,",,,,,,,,,,
METER,COCO/VG,ELECTRA-small,Deit-Tiny,39.8 M,,100K,,"0.7122260332107544,","0.7140383124351501,",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,E-small-frozen,Deit-Tiny-Frozen,39.8 M,,50K,,,,"0.6770893931388855,","0.670800507068634,",,,,,,,,
METER,COCO/VG,E-small-frozen,Deit-Tiny-Frozen,39.8 M,,100K,,"0.7046367526054382,","0.7014414668083191,","0.6809828281402588,","0.6787330508232117,",,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,E-small,Deit-Tiny-Frozen,39.8 M,,50K,,0.7034418583,"0.6970670819282532,",,,,,,,,,,
METER,COCO/VG,E-small,Deit-Tiny-Frozen,39.8 M,,100K,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,E-small-frozen,Deit-Tiny,39.8 M,,50K,,,,,,,,,,,,,
METER,COCO/VG,E-small-frozen,Deit-Tiny,39.8 M,,100K,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,E-small-rnd,Deit-Tiny-rnd,39.8 M,,50K,,0.6347774267,0.6317395568,,,,,,,,,,
METER,COCO/VG,E-small-rnd,Deit-Tiny-rnd,39.8 M,,100K,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,E-small,Deit-Tiny-rnd,39.8 M,,50K,,0.5441998243,0.5493493676,,,,,,,,,,
METER,COCO/VG,E-small,Deit-Tiny-rnd,39.8 M,,100K,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METER,COCO/VG,E-small-rnd,Deit-Tiny,39.8 M,,50K,,0.5252130628,0.5301755071,,,,,,,,,,
METER,COCO/VG,E-small-rnd,Deit-Tiny,39.8 M,,100K,,,,,,,,,,,,,
